,carat,cut,color,clarity,depth,table,x,y,z,price_predicted
1250,1.23,Premium,H,VS1,61.1,58.0,6.91,6.86,4.21,7692.125907993117
1251,1.02,Premium,H,VS2,61.9,57.0,6.5,6.4,3.99,5020.684264228292
1252,1.0,Ideal,E,SI1,61.6,55.0,6.45,6.43,3.97,5189.730205434062
1253,0.7,Very Good,D,SI1,61.1,58.0,5.66,5.73,3.48,2669.236406419964
1254,1.5,Very Good,E,SI2,62.8,57.0,7.17,7.23,4.52,9006.467917998787
1255,2.0,Very Good,J,VVS2,63.0,59.0,7.97,8.0,5.03,16672.969831208284
1256,0.3,Very Good,G,VS2,63.1,56.0,4.28,4.25,2.69,545.4369771828037
1257,0.26,Premium,E,VVS2,58.9,61.0,4.19,4.16,2.46,572.2261806509152
1258,0.58,Premium,E,SI1,62.7,58.0,5.33,5.32,3.34,1813.1094803740896
1259,0.4,Very Good,F,VS1,60.4,61.0,4.74,4.77,2.87,1058.4408691900292
1260,0.26,Ideal,D,VS1,62.0,55.0,4.12,4.1,2.55,548.688156828202
1261,1.0,Fair,H,SI2,65.1,58.0,6.27,6.15,4.05,3084.8793936421544
1262,0.52,Fair,F,VS1,57.2,59.0,5.35,5.39,3.07,1552.2333881482757
1263,1.02,Premium,D,SI2,59.7,60.0,6.58,6.55,3.92,4723.5542094384855
1264,1.7,Good,I,SI1,59.3,58.0,7.72,7.77,4.59,9603.606292045899
1265,1.01,Premium,H,SI2,61.6,61.0,6.39,6.31,3.91,3575.9128614375204
1266,0.55,Ideal,E,VS2,61.8,57.0,5.34,5.27,3.28,1956.5114669594068
1267,1.04,Good,F,VS1,63.2,57.0,6.41,6.44,4.06,6139.248981969848
1268,1.02,Premium,D,VS2,62.9,60.0,6.42,6.37,4.02,6434.926434845644
1269,0.3,Ideal,F,SI1,62.3,54.0,4.3,4.27,2.67,522.0391026260769
1270,0.97,Ideal,F,I1,60.7,56.0,6.43,6.41,3.9,2593.818297008937
1271,0.31,Ideal,E,VS2,62.0,55.0,4.35,4.33,2.69,668.8196721099318
1272,0.81,Ideal,H,VS1,61.8,58.0,5.97,6.04,3.71,3557.731630450681
1273,1.02,Premium,D,SI1,62.3,59.0,6.42,6.38,3.99,5545.476412566864
1274,0.3,Premium,I,VVS1,61.1,59.0,4.31,4.33,2.64,587.6114974845566
1275,0.4,Very Good,E,VS1,62.8,59.0,4.63,4.67,2.92,1104.1075500749523
1276,0.71,Very Good,F,VVS1,63.2,60.0,5.65,5.61,3.56,3827.378660103125
1277,0.7,Premium,G,SI1,61.5,58.0,5.69,5.76,3.52,2319.5224908008204
1278,0.23,Ideal,E,SI2,61.5,55.0,3.95,3.98,2.43,279.9778062708736
1279,1.09,Ideal,G,VS1,62.3,55.0,6.59,6.63,4.12,6840.7591689611345
1280,0.3,Ideal,E,VVS2,61.0,56.0,4.33,4.39,2.66,769.2517364842755
1281,0.35,Premium,E,VS2,59.5,58.0,4.59,4.62,2.74,813.0407015532846
1282,1.13,Ideal,F,VS2,62.1,56.0,6.65,6.71,4.15,7268.934660585224
1283,0.31,Ideal,G,VVS1,61.5,54.0,4.36,4.39,2.69,794.3371384942827
1284,1.33,Ideal,I,VS2,61.1,54.0,7.14,7.15,4.37,7542.616160907534
1285,1.25,Premium,I,SI2,60.5,58.0,7.0,6.96,4.22,4774.581388644805
1286,2.0,Fair,H,SI1,61.2,50.0,8.17,8.08,4.97,13854.884781494196
1287,0.7,Ideal,G,SI1,62.5,56.0,5.67,5.69,3.55,2377.701332113995
1288,0.39,Good,F,VS2,64.3,55.0,4.56,4.64,2.96,909.2412332641035
1289,0.5,Ideal,E,VS2,60.8,57.0,5.16,5.13,3.13,1630.237303550134
1290,0.3,Premium,E,VS2,61.6,58.0,4.33,4.31,2.66,614.3931939949105
1291,1.37,Ideal,J,VS2,63.0,57.0,7.11,7.05,4.46,6915.032063305834
1292,0.8,Ideal,H,VS2,62.1,54.0,5.96,5.99,3.71,3240.01086044369
1293,0.28,Very Good,F,VVS1,60.1,59.0,4.24,4.25,2.55,669.9072566789938
1294,0.34,Good,E,SI1,60.5,60.1,4.5,4.53,2.73,628.1593595482593
1295,0.3,Very Good,E,VS2,62.6,58.0,4.25,4.28,2.67,603.3290603100106
1296,0.85,Ideal,E,SI2,62.8,57.0,6.06,6.01,3.79,3224.3535417615803
1297,1.0,Very Good,E,SI1,60.9,59.0,6.38,6.43,3.9,4954.909239600336
1298,0.41,Premium,G,VS2,62.6,59.0,4.73,4.76,2.97,989.106685388386
1299,1.5,Premium,G,VS2,60.3,60.0,7.34,7.26,4.4,11442.882459388806
1300,0.72,Very Good,H,SI2,63.3,57.0,5.7,5.67,3.6,1857.9495075845996
1301,0.33,Premium,G,VS1,62.0,59.0,4.42,4.36,2.72,708.8893763141864
1302,0.39,Ideal,E,IF,61.5,55.5,4.68,4.72,2.88,1476.9521471181386
1303,0.4,Ideal,E,VS2,61.4,57.0,4.78,4.75,2.92,1075.1995487135487
1304,1.01,Good,F,SI1,63.5,59.0,6.29,6.38,4.02,4647.384015961448
1305,1.02,Ideal,I,SI2,60.6,56.0,6.57,6.53,3.97,3323.645763532152
1306,1.01,Ideal,D,SI1,63.0,56.0,6.36,6.41,4.02,5562.923262968321
1307,0.7,Ideal,F,SI1,61.8,56.0,5.68,5.75,3.53,2535.1914468213427
1308,0.57,Very Good,F,VS2,59.5,57.0,5.39,5.43,3.22,1915.2524988239522
1309,1.5,Very Good,F,SI1,63.9,58.0,7.12,7.16,4.56,10196.945823082631
1310,1.01,Premium,J,SI2,59.3,56.0,6.51,6.45,3.84,2766.814968261846
1311,0.51,Ideal,D,VS2,61.2,55.0,5.17,5.13,3.15,1789.0171491932244
1312,1.0,Premium,E,SI2,61.7,58.0,6.39,6.34,3.93,4274.780211744255
1313,0.71,Premium,E,VVS1,62.5,57.0,5.67,5.62,3.53,4053.3449794922462
1314,0.52,Very Good,D,VVS2,59.8,55.0,5.28,5.35,3.18,2182.170940495091
1315,0.4,Good,I,IF,62.3,62.0,4.69,4.72,2.93,1038.6711234008956
1316,0.81,Premium,I,VVS2,62.9,59.0,5.95,5.84,3.71,3509.2867468288514
1317,0.53,Ideal,F,VVS2,61.3,55.0,5.23,5.27,3.22,2141.8897346553126
1318,2.02,Premium,I,SI2,59.4,59.0,8.25,8.21,4.89,12058.125644701258
1319,2.11,Ideal,I,SI1,61.0,57.0,8.37,8.29,5.08,15831.96936625141
1320,1.15,Ideal,D,VS2,58.5,57.0,6.96,6.93,4.06,8386.408033449246
1321,0.7,Premium,I,VVS2,60.1,59.0,5.8,5.72,3.46,2670.755807638589
1322,1.07,Premium,F,SI1,61.7,56.0,6.66,6.5,4.06,5560.502881997761
1323,0.56,Ideal,H,SI1,61.9,54.0,5.3,5.33,3.29,1428.314930026498
1324,1.74,Ideal,G,VS2,62.9,57.0,7.68,7.64,4.82,15508.232810135125
1325,0.31,Very Good,G,VVS2,62.2,56.0,4.31,4.34,2.69,707.2990440852216
1326,0.5,Very Good,H,VVS2,62.9,56.0,5.03,5.08,3.18,1573.9242423805197
1327,1.07,Ideal,D,VVS2,60.3,56.0,6.63,6.68,4.01,8881.167913638648
1328,0.3,Premium,G,VS1,61.8,59.0,4.37,4.34,2.69,596.1120746256281
1329,0.51,Ideal,E,SI1,62.1,55.0,5.09,5.15,3.18,1455.4206287549227
1330,0.91,Very Good,G,SI1,63.5,58.0,6.15,6.04,3.87,3738.366261690553
1331,0.3,Very Good,H,SI1,61.3,58.0,4.29,4.33,2.64,426.09471612805476
1332,0.7,Ideal,F,VS2,61.0,55.0,5.74,5.79,3.52,2945.9802598478946
1333,0.76,Ideal,D,VS1,61.7,56.0,5.84,5.87,3.61,4058.326449928587
1334,1.15,Ideal,I,VS1,61.3,56.0,6.74,6.76,4.14,6117.939052782786
1335,1.47,Premium,J,SI2,60.0,58.0,7.36,7.31,4.4,5667.950773966988
1336,1.2,Ideal,G,SI1,61.8,59.0,6.77,6.8,4.19,6576.995254317294
1337,1.07,Ideal,E,SI1,60.4,57.0,6.62,6.56,3.98,5904.348781694333
1338,1.01,Ideal,F,SI1,62.0,54.0,6.41,6.49,4.0,5065.610153263357
1339,0.28,Premium,G,VVS2,60.2,60.0,4.24,4.26,2.56,593.2327553652975
1340,2.27,Premium,H,SI2,60.7,59.0,8.5,8.45,5.15,16988.814315675263
1341,0.4,Premium,D,VS2,61.7,59.0,4.75,4.72,2.92,1109.6371454519317
1342,0.39,Very Good,J,VS1,63.5,58.0,4.64,4.59,2.93,670.4444734053842
1343,1.14,Premium,H,SI2,60.6,59.0,6.8,6.77,4.11,4533.910093733779
1344,0.53,Ideal,E,VVS1,61.9,55.0,5.2,5.21,3.22,2401.569624693981
1345,0.4,Ideal,I,SI2,61.0,58.0,4.74,4.77,2.9,567.5471931704537
1346,0.58,Premium,H,VS2,59.7,59.0,5.42,5.33,3.21,1723.9758178218674
1347,0.7,Premium,D,SI1,61.2,58.0,5.74,5.7,3.5,2730.740724461174
1348,0.55,Ideal,H,IF,61.5,55.0,5.25,5.29,3.25,2309.0055257919726
1349,0.72,Very Good,I,VS2,63.3,57.0,5.66,5.72,3.6,2245.443198342559
1350,0.3,Ideal,F,SI1,62.3,53.9,4.28,4.31,2.68,521.3502461860554
1351,1.02,Ideal,H,SI1,61.9,57.0,6.46,6.4,3.98,4422.161820893821
1352,0.51,Very Good,I,SI1,63.5,55.0,5.07,5.11,3.23,1017.0884217336433
1353,0.65,Premium,E,SI2,62.6,59.0,5.54,5.49,3.45,1899.8384983489389
1354,1.07,Ideal,H,SI1,61.1,56.0,6.63,6.6,4.04,4857.245053492113
1355,0.43,Ideal,G,VVS1,61.8,55.0,4.87,4.9,3.02,1463.6846908431864
1356,0.32,Premium,I,IF,60.3,58.0,4.41,4.45,2.67,722.3491377095073
1357,0.28,Very Good,F,VS2,62.7,58.0,4.14,4.15,2.6,510.1393874317188
1358,1.7,Very Good,G,VS2,62.6,57.0,7.6,7.67,4.78,14212.945356617167
1359,0.51,Very Good,I,SI1,62.5,58.0,5.05,5.12,3.18,1013.0776421066514
1360,0.71,Ideal,D,VS2,60.4,57.0,5.77,5.82,3.5,3325.7059868801243
1361,0.4,Premium,E,VS2,62.0,58.0,4.73,4.69,2.92,1049.3604598261509
1362,0.9,Ideal,G,SI1,60.2,56.0,6.24,6.29,3.77,3822.815338857787
1363,0.59,Good,F,VS1,60.5,61.0,5.43,5.5,3.31,2113.706083109547
1364,1.19,Premium,D,SI2,58.6,61.0,6.93,6.89,4.05,6337.701797168143
1365,0.51,Premium,G,VS2,61.3,59.0,5.17,5.11,3.15,1488.161046816087
1366,0.5,Very Good,E,VS2,61.8,57.0,5.05,5.11,3.14,1558.6394214150057
1367,1.01,Fair,H,SI2,64.9,56.0,6.33,6.25,4.08,3148.263724624541
1368,0.63,Premium,E,VS1,60.4,58.0,5.59,5.64,3.39,2639.849753830714
1369,0.72,Ideal,D,SI2,62.7,55.0,5.7,5.72,3.58,2488.842845784525
1370,0.3,Ideal,F,VS2,60.7,57.0,4.34,4.29,2.62,602.7600592870743
1371,0.3,Ideal,E,VVS2,61.6,56.0,4.32,4.35,2.67,770.8388005736779
1372,0.29,Very Good,D,VVS2,59.1,61.0,4.33,4.37,2.57,728.52152250032
1373,1.0,Very Good,E,SI2,63.2,56.0,6.33,6.36,4.01,4189.518562986257
1374,1.17,Ideal,G,VS1,61.7,57.0,6.71,6.75,4.15,7808.160583570344
1375,1.56,Very Good,H,VVS2,63.3,58.0,7.3,7.35,4.64,13426.397288746668
1376,0.56,Ideal,E,SI1,62.7,57.0,5.27,5.23,3.29,1738.9849678163364
1377,0.41,Very Good,I,SI2,63.5,57.0,4.72,4.7,2.99,573.2994264247526
1378,1.53,Very Good,I,VS1,62.8,55.0,7.35,7.4,4.63,10075.339151089125
1379,0.52,Very Good,J,SI1,62.5,59.0,5.14,5.16,3.22,918.5366027682927
1380,0.4,Ideal,J,SI1,61.4,55.0,4.75,4.8,2.93,585.7497924653409
1381,1.0,Premium,F,VS2,59.0,59.0,6.54,6.51,3.85,5664.258862451762
1382,0.36,Ideal,F,VS1,61.5,55.0,4.57,4.61,2.82,909.8742252961089
1383,0.41,Ideal,E,VS2,61.8,57.0,4.76,4.78,2.95,1123.629420941901
1384,0.9,Premium,H,SI1,61.4,60.0,6.13,6.08,3.75,3392.52362169386
1385,1.59,Premium,G,SI1,62.3,60.0,7.49,7.42,4.64,11018.761611363683
1386,1.03,Premium,G,VS1,62.2,59.0,6.41,6.46,4.0,5981.128151922631
1387,0.38,Premium,G,VS1,61.9,56.0,4.68,4.63,2.88,923.7727835665056
1388,0.74,Ideal,E,SI2,59.2,59.0,5.92,5.97,3.52,2484.6976881298333
1389,1.5,Very Good,G,SI1,63.1,59.0,7.22,7.27,4.57,9608.453337636205
1390,1.01,Good,E,SI1,59.3,64.0,6.47,6.49,3.84,4866.276657572985
1391,1.71,Premium,H,VS2,62.5,58.0,7.64,7.52,4.74,13384.29138462164
1392,0.9,Very Good,G,VS2,61.3,59.0,6.15,6.21,3.79,4238.017222221286
1393,1.09,Ideal,G,SI2,61.2,57.0,6.63,6.68,4.07,4652.836322139929
1394,0.78,Very Good,E,VS1,60.0,56.0,6.0,6.03,3.61,3879.0363001995406
1395,0.32,Ideal,D,VS2,61.5,56.0,4.41,4.44,2.72,749.1345237079316
1396,0.3,Ideal,F,IF,62.0,56.0,4.31,4.33,2.68,873.9267247577574
1397,1.01,Premium,G,SI1,58.8,58.0,6.59,6.51,3.85,4670.423500947236
1398,0.32,Ideal,D,VVS2,61.7,55.0,4.39,4.42,2.72,918.2489024615415
1399,1.05,Premium,H,VS2,62.7,59.0,6.49,6.43,4.05,5285.203889641356
1400,0.9,Ideal,H,SI1,61.1,58.0,6.24,6.19,3.79,3493.821632533293
1401,0.54,Ideal,G,VVS1,62.2,56.0,5.2,5.22,3.24,2237.442986692289
1402,1.5,Ideal,E,SI1,62.6,56.0,7.27,7.3,4.56,11157.609393283106
1403,1.01,Good,D,SI1,62.9,57.0,6.34,6.37,4.0,5126.476659702465
1404,1.76,Ideal,F,SI2,62.6,55.0,7.69,7.64,4.8,12334.809441168714
1405,1.01,Fair,F,VS2,65.2,52.0,6.31,6.29,4.11,5041.154990540058
1406,1.03,Ideal,H,SI2,60.5,57.0,6.58,6.52,3.96,3828.3210652413877
1407,0.3,Ideal,E,VVS1,60.1,57.0,4.38,4.41,2.64,828.0631459519681
1408,2.03,Ideal,G,SI2,62.5,56.0,8.1,8.05,5.05,15228.595490821468
1409,0.54,Premium,I,VVS1,60.8,61.0,5.28,5.22,3.19,1763.8043669673293
1410,1.01,Premium,D,SI2,58.3,59.0,6.67,6.63,3.88,4659.661702450881
1411,1.51,Fair,I,I1,65.1,57.0,7.16,7.12,4.65,3853.022912661655
1412,0.56,Very Good,E,VS1,62.7,60.0,5.25,5.28,3.3,2075.6203486396907
1413,0.47,Premium,G,VS2,61.0,59.0,5.03,5.0,3.06,1275.6159871639884
1414,0.9,Very Good,G,SI2,61.1,55.0,6.21,6.26,3.81,3101.3784254201023
1415,0.57,Premium,E,VS2,61.0,58.0,5.34,5.31,3.25,2031.493451672635
1416,0.36,Ideal,G,VVS2,61.8,55.0,4.57,4.62,2.84,974.087605757844
1417,0.9,Premium,H,VS2,61.2,61.0,6.21,6.14,3.78,3951.4621578108986
1418,0.8,Good,F,VS2,60.5,62.3,5.97,6.01,3.62,3487.6231054294635
1419,0.5,Ideal,E,VVS2,61.7,55.7,5.09,5.12,3.13,1996.0312077756018
1420,1.16,Very Good,I,SI1,62.7,57.0,6.67,6.76,4.21,4765.776966665821
1421,0.54,Ideal,G,SI2,62.3,58.0,5.17,5.2,3.23,1233.6977032834811
1422,0.23,Premium,E,VVS2,61.8,58.0,3.94,3.92,2.43,460.00706401483546
1423,0.96,Premium,D,SI2,59.1,58.0,6.53,6.44,3.83,4226.157242808538
1424,0.38,Ideal,E,VS2,61.9,57.0,4.61,4.66,2.87,973.7946041398754
1425,0.32,Ideal,G,VVS2,61.2,56.0,4.42,4.41,2.7,781.7463475441575
1426,0.71,Ideal,D,VVS2,61.6,56.0,5.69,5.77,3.53,4068.8131738040056
1427,1.05,Premium,F,VS1,62.3,55.0,6.57,6.49,4.07,6667.174413368548
1428,1.16,Premium,G,VVS2,60.0,59.0,6.89,6.82,4.11,8654.826476124987
1429,0.9,Very Good,D,SI1,63.0,58.0,6.11,6.14,3.86,4290.359769749712
1430,0.41,Good,F,VS2,59.7,63.0,4.8,4.85,2.88,990.78137890794
1431,0.71,Very Good,I,SI2,61.9,54.0,5.67,5.74,3.53,1594.6065816340963
1432,0.74,Very Good,H,VS1,62.3,56.0,5.75,5.78,3.59,2874.6251545364
1433,0.73,Premium,I,VS1,61.2,59.0,5.82,5.84,3.57,2529.0035108780403
1434,1.16,Ideal,H,SI2,61.1,56.0,6.78,6.79,4.15,4783.972092512943
1435,1.57,Fair,H,VS1,67.3,66.0,7.85,5.75,3.87,11078.484976202319
1436,0.3,Very Good,D,VS2,62.9,58.0,4.23,4.26,2.67,638.1096079726879
1437,0.58,Ideal,F,SI2,60.9,56.0,5.42,5.39,3.29,1510.6579907972337
1438,0.32,Very Good,D,VS2,62.0,57.0,4.38,4.42,2.73,718.8929687157304
1439,1.51,Ideal,I,SI1,62.7,57.0,7.35,7.3,4.59,8238.098705349712
1440,0.7,Premium,G,SI1,62.0,61.0,5.67,5.62,3.5,2320.182323021422
1441,0.88,Ideal,E,SI2,62.2,57.0,6.08,6.2,3.82,3428.31156199212
1442,0.7,Ideal,G,SI1,62.2,56.0,5.72,5.69,3.55,2383.2362543538893
1443,0.25,Ideal,F,VVS1,62.3,56.0,4.01,4.03,2.5,569.2362508402166
1444,0.7,Very Good,F,VS2,62.4,59.0,5.64,5.71,3.54,2817.93184905111
1445,1.07,Ideal,G,SI2,61.7,57.0,6.55,6.59,4.05,4483.668471544836
1446,0.39,Fair,G,IF,57.1,61.0,4.83,4.88,2.77,1134.7226121651472
1447,1.55,Ideal,F,VS2,61.8,54.0,7.44,7.48,4.61,13314.999070248341
1448,1.18,Ideal,I,VS2,62.3,56.0,6.76,6.73,4.21,5971.534905361977
1449,1.21,Premium,H,SI1,61.8,58.0,6.83,6.79,4.21,5970.282648242304
1450,0.27,Ideal,I,VS1,62.1,54.0,4.16,4.18,2.59,404.08097437619153
1451,0.35,Ideal,H,VVS2,62.5,57.0,4.54,4.48,2.82,846.7193190589596
1452,0.7,Ideal,H,VS2,62.4,56.0,5.63,5.72,3.54,2510.490000109792
1453,0.91,Premium,I,VS2,62.4,61.0,6.18,6.16,3.85,3560.3316197036165
1454,0.33,Ideal,D,VS2,62.6,56.0,4.43,4.39,2.76,795.8198550106431
1455,2.14,Premium,I,SI1,61.3,61.0,8.32,8.28,5.09,15796.933908714022
1456,1.2,Premium,I,VS2,62.6,58.0,6.77,6.72,4.22,6012.350441376829
1457,0.3,Very Good,H,VVS1,62.6,56.0,4.25,4.28,2.67,655.1013740093592
1458,0.5,Ideal,I,SI1,59.8,59.0,5.18,5.15,3.09,1018.92002940181
1459,0.55,Ideal,G,VS2,62.2,54.0,5.27,5.28,3.28,1756.5825280326196
1460,2.01,Very Good,H,VS2,63.5,59.0,7.92,7.86,5.01,17756.35990554579
1461,0.3,Ideal,H,VVS2,61.3,57.0,4.33,4.31,2.65,633.1788903948582
1462,1.65,Premium,D,SI1,60.4,60.0,7.63,7.58,4.59,13951.152529112707
1463,0.26,Very Good,F,VS2,62.4,58.0,4.06,4.08,2.54,444.6100896212389
1464,0.42,Ideal,D,VS1,61.1,57.0,4.84,4.81,2.95,1335.1836526204866
1465,0.5,Premium,F,VVS2,61.9,58.0,5.07,5.1,3.15,1872.3683470457697
1466,1.09,Ideal,G,VS2,62.4,55.0,6.61,6.56,4.11,6377.711053522926
1467,0.41,Premium,G,SI1,61.3,58.0,4.76,4.8,2.93,850.3516648005259
1468,1.06,Premium,F,SI1,58.4,61.0,6.73,6.69,3.92,5474.576039347614
1469,1.49,Fair,F,SI1,59.6,63.0,7.2,7.34,4.33,9090.392570192935
1470,0.37,Very Good,F,VS2,59.2,61.0,4.63,4.69,2.76,848.2521586839438
1471,0.4,Very Good,D,VS2,63.5,55.0,4.69,4.66,2.97,1093.3361757547264
1472,0.9,Very Good,E,SI1,62.2,60.0,6.14,6.17,3.83,4059.933850440192
1473,0.35,Very Good,H,SI1,61.3,55.0,4.55,4.58,2.8,568.7378848886538
1474,1.51,Very Good,E,VS2,62.4,59.0,7.26,7.36,4.56,12553.650375314932
1475,1.08,Premium,G,SI1,59.4,60.0,6.7,6.63,3.96,5298.740493938602
1476,0.38,Ideal,F,VS1,62.4,54.0,4.64,4.68,2.91,1008.8737284629149
1477,1.06,Ideal,I,VS2,61.4,57.0,6.57,6.52,4.02,4881.953196931872
1478,0.51,Ideal,E,VS2,61.5,55.0,5.23,5.14,3.19,1699.1152247685243
1479,1.0,Fair,F,SI1,64.8,58.0,6.26,6.21,4.04,4258.854548652339
1480,0.32,Ideal,F,VS2,60.3,55.0,4.45,4.4,2.67,679.1937790212002
1481,1.02,Premium,F,VS2,62.4,59.0,6.4,6.45,4.01,5837.918758279131
1482,0.42,Premium,H,VS2,62.1,57.0,4.8,4.76,2.97,944.5680483535358
1483,1.02,Premium,G,SI2,62.3,58.1,6.41,6.38,4.0,3993.4523728811932
1484,0.31,Very Good,F,VS2,63.4,56.0,4.32,4.29,2.73,619.1295983515771
1485,0.9,Good,E,SI1,63.9,57.0,6.12,6.08,3.9,3908.3599135340332
1486,1.05,Ideal,F,VS2,59.1,57.0,6.67,6.66,3.94,6375.4345485279255
1487,0.9,Good,F,SI1,58.0,58.0,6.24,6.28,3.63,3751.073176393529
1488,0.33,Ideal,D,VVS2,60.9,57.0,4.46,4.48,2.72,970.5320571216271
1489,0.4,Very Good,E,VS1,60.1,58.0,4.72,4.76,2.85,1098.8622518502955
1490,1.37,Ideal,G,SI2,62.8,57.0,7.12,7.06,4.45,7179.5600071977515
1491,0.72,Ideal,F,IF,62.0,57.0,5.71,5.78,3.56,4475.334505936369
1492,1.08,Ideal,I,VS2,61.6,56.0,6.63,6.59,4.07,5064.1762651777435
1493,0.35,Premium,E,IF,59.0,61.0,4.64,4.62,2.73,1175.5729860556967
1494,2.02,Premium,H,SI2,61.5,58.0,8.14,8.1,4.99,13508.243731198489
1495,1.88,Good,J,SI2,57.9,59.0,8.16,8.11,4.71,8708.703032093461
1496,1.52,Ideal,H,VS2,61.8,55.1,7.38,7.42,4.58,10960.949668379551
1497,1.01,Ideal,G,SI1,62.2,55.0,6.44,6.46,4.01,4755.6199297836265
1498,0.56,Ideal,G,VS1,60.7,57.0,5.27,5.34,3.22,1940.1699481844096
1499,0.96,Premium,E,SI2,62.8,60.0,6.3,6.24,3.94,3959.835733912436
1500,0.34,Very Good,E,SI1,63.4,55.0,4.46,4.44,2.82,659.35719685278
1501,0.8,Ideal,E,SI1,61.1,56.0,5.98,6.01,3.66,3397.2032100145025
1502,0.3,Ideal,D,VS1,61.0,57.0,4.31,4.32,2.63,712.0152152054242
1503,0.54,Ideal,E,VS2,61.8,57.0,5.23,5.26,3.24,1881.6809015880367
1504,0.71,Good,G,VS2,63.5,59.0,5.63,5.67,3.59,2607.9506768217816
1505,1.01,Very Good,F,VS2,61.5,57.0,6.4,6.48,3.96,5631.163446616848
1506,1.02,Ideal,I,SI2,62.8,58.0,6.37,6.41,4.01,3291.760861998644
1507,2.01,Very Good,I,VS2,62.1,60.0,7.96,8.01,4.96,15758.611503324248
1508,0.33,Ideal,G,VS1,62.4,56.0,4.43,4.45,2.77,727.232718044469
1509,0.44,Ideal,G,SI1,62.7,57.0,4.82,4.85,3.03,995.2482849360182
1510,0.31,Very Good,E,VVS1,62.3,59.0,4.32,4.38,2.71,846.9384813615387
1511,0.26,Very Good,G,VVS2,62.6,56.0,4.1,4.13,2.57,512.290188085509
1512,1.58,Ideal,E,SI1,61.0,57.0,7.5,7.55,4.59,12406.642052704345
1513,0.32,Ideal,E,SI2,61.6,56.0,4.4,4.43,2.72,516.6986612046867
1514,0.31,Good,G,SI1,63.3,57.0,4.3,4.33,2.73,480.08294105421567
1515,0.75,Very Good,H,SI2,61.9,56.0,5.79,5.87,3.61,2001.8034002250306
1516,0.39,Very Good,H,VVS2,62.4,57.0,4.67,4.7,2.92,990.8996012640542
1517,0.41,Ideal,E,VVS2,62.8,54.0,4.77,4.72,2.98,1383.5055763012572
1518,0.54,Ideal,I,IF,61.6,53.0,5.26,5.3,3.25,1976.9006284856857
1519,0.55,Ideal,D,VVS2,61.5,56.0,5.26,5.28,3.24,2522.903696756824
1520,0.35,Ideal,H,VVS1,62.6,57.0,4.47,4.45,2.79,909.1460456755788
1521,1.82,Very Good,G,SI2,61.3,58.0,7.83,7.94,4.83,11871.521847737624
1522,0.72,Ideal,J,VS1,61.1,56.0,5.84,5.82,3.56,2204.764824063819
1523,1.52,Good,I,SI1,64.0,58.0,7.2,7.27,4.63,7616.628266422544
1524,0.4,Good,F,VVS1,60.6,62.0,4.71,4.73,2.86,1250.539994811293
1525,0.3,Premium,F,IF,61.6,58.0,4.34,4.3,2.66,853.5780701924391
1526,1.2,Ideal,H,SI1,60.8,57.0,6.9,6.88,4.19,6045.783608922907
1527,0.56,Fair,F,VS2,57.0,67.0,5.49,5.36,3.09,1661.654753264266
1528,0.54,Ideal,H,VVS2,61.8,56.0,5.25,5.27,3.25,1898.2748202198416
1529,1.55,Ideal,G,VS1,62.0,57.0,7.37,7.42,4.58,13347.156073887143
1530,1.33,Good,D,SI2,59.0,64.0,7.22,7.12,4.23,7424.373022540854
1531,0.37,Premium,H,VS2,61.4,58.0,4.64,4.61,2.84,745.3973919097449
1532,0.37,Premium,D,VS2,60.5,59.0,4.66,4.69,2.83,956.6940886316754
1533,1.01,Ideal,F,SI2,61.3,57.0,6.4,6.35,3.91,4283.136017622301
1534,1.19,Very Good,D,SI2,63.5,57.0,6.67,6.75,4.26,6143.874690268825
1535,0.9,Very Good,I,SI1,60.5,58.0,6.22,6.27,3.78,2955.961922710409
1536,0.32,Ideal,E,IF,62.6,55.0,4.38,4.41,2.75,1026.2375064267492
1537,0.67,Good,J,VS1,64.2,55.6,5.54,5.57,3.57,1770.6472654246581
1538,0.4,Good,D,VS2,63.5,55.0,4.66,4.69,2.97,1049.405919395915
1539,0.35,Very Good,G,IF,62.6,59.0,4.43,4.49,2.79,1042.3794432682819
1540,0.25,Ideal,E,VVS2,62.1,57.0,4.04,4.07,2.52,550.0280451116848
1541,2.38,Premium,H,VS1,60.9,59.0,8.62,8.59,5.24,27383.311779529973
1542,2.03,Premium,J,SI1,62.1,59.0,8.12,8.06,5.02,12379.344306356737
1543,1.08,Ideal,E,VVS1,61.0,56.0,6.66,6.62,4.05,9222.360550793946
1544,0.71,Ideal,E,SI1,60.8,57.0,5.8,5.84,3.54,2718.1766139631422
1545,1.01,Premium,F,SI2,61.3,60.0,6.43,6.4,3.93,4189.050236712797
1546,0.61,Very Good,I,VS2,62.7,57.0,5.39,5.42,3.39,1646.5600129124955
1547,0.3,Ideal,I,SI1,61.5,57.0,4.3,4.35,2.66,393.1021097081884
1548,0.48,Ideal,F,VVS1,62.0,55.0,4.99,5.04,3.11,1913.395877713933
1549,0.43,Ideal,D,SI1,61.5,56.0,4.87,4.82,2.98,1120.8986228357815
1550,0.7,Premium,D,VS1,61.0,59.0,5.79,5.72,3.51,3410.7440131553312
1551,2.17,Ideal,I,SI1,60.4,56.0,8.36,8.43,5.07,16647.125857736413
1552,0.7,Good,G,VS2,62.1,61.0,5.68,5.69,3.53,2543.4350998191426
1553,1.73,Ideal,F,VS1,62.1,57.0,7.73,7.64,4.77,17668.12823950302
